week_end,indicator,high_industry,value
08/12/2019,Number of Paid Jobs - 27 days,Total,2212250
15/12/2019,Number of Paid Jobs - 6 days,A Primary,85570
15/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,379030
15/12/2019,Number of Paid Jobs - 6 days,C Services,1236440
15/12/2019,Number of Paid Jobs - 6 days,Total,1731220
15/12/2019,Number of Paid Jobs - 13 days,A Primary,106000
15/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,409770
15/12/2019,Number of Paid Jobs - 13 days,C Services,1475730
15/12/2019,Number of Paid Jobs - 13 days,Total,2026540
15/12/2019,Number of Paid Jobs - 27 days,A Primary,111890
15/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,418870
15/12/2019,Number of Paid Jobs - 27 days,C Services,1665930
15/12/2019,Number of Paid Jobs - 27 days,Total,2233900
22/12/2019,Number of Paid Jobs - 6 days,A Primary,82820
22/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,353410
22/12/2019,Number of Paid Jobs - 6 days,C Services,1244050
22/12/2019,Number of Paid Jobs - 6 days,Total,1703640
22/12/2019,Number of Paid Jobs - 13 days,A Primary,101360
22/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,385220
22/12/2019,Number of Paid Jobs - 13 days,C Services,1468320
22/12/2019,Number of Paid Jobs - 13 days,Total,1982310
22/12/2019,Number of Paid Jobs - 27 days,A Primary,111310
22/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,416150
22/12/2019,Number of Paid Jobs - 27 days,C Services,1653850
22/12/2019,Number of Paid Jobs - 27 days,Total,2212580
29/12/2019,Number of Paid Jobs - 6 days,A Primary,72090
29/12/2019,Number of Paid Jobs - 6 days,B Goods Producing,312710
29/12/2019,Number of Paid Jobs - 6 days,C Services,1118830
29/12/2019,Number of Paid Jobs - 6 days,Total,1516420
29/12/2019,Number of Paid Jobs - 13 days,A Primary,97420
29/12/2019,Number of Paid Jobs - 13 days,B Goods Producing,382100
29/12/2019,Number of Paid Jobs - 13 days,C Services,1502430
29/12/2019,Number of Paid Jobs - 13 days,Total,2001230
29/12/2019,Number of Paid Jobs - 27 days,A Primary,104160
29/12/2019,Number of Paid Jobs - 27 days,B Goods Producing,394530
29/12/2019,Number of Paid Jobs - 27 days,C Services,1588770
